station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
RHEINE UNTERSCHLEUSE,59,10.937447423670223,16.575080892773244,274.73330660197666,-5.66936301575715,-8.929648360613212,5.571683813296772,27.23458098285003,47.25525164198018
Koblenz UP,58,12.25000625792679,15.723912527536037,247.24142517360468,-0.3191584272688295,1.2191473567186153,9.77993957127913,26.987377279194863,31.43732060821837
MANNHEIM,59,7.068515535428392,15.026674078628151,225.80093386531522,-0.3794300745602259,2.058917615728227,3.1021025530704094,15.138434889952288,73.71889079547381
MAXAU,59,5.056769638797261,14.995663688158212,224.86992944834677,0.17255221477017635,-4.749934814881554,1.8870842316062522,5.529878068451173,80.7387870889641
SPEYER,59,4.356636462443896,14.935769141907782,223.07719986036471,-0.08490518150487536,-1.130816834776534,1.3153880497987416,3.75198522688479,80.78583694558017
SANKT GOAR,59,7.3673351638132205,14.122998763107049,199.45909406272324,-0.24359163346982626,-3.8466940810600567,5.000454949961579,9.678983412201706,70.81707564866304
KOBLENZ,59,6.445512948196037,13.385862116798952,179.18130460995334,-0.05611358361510965,1.1731775858928455,4.0042214554747915,10.063457351159025,67.98424365556227
IFFEZHEIM,59,6.399378036922226,12.856207351860348,165.28206747402805,0.1540111325635921,-6.242883979660711,3.4640666950556067,11.439536610974192,65.4502080535382
WORMS,59,3.2841824980337373,12.185439349182491,148.48493213260502,-0.12657758412909725,-1.4596751992151251,0.7882049539319809,2.3616204654628272,65.85719465995079
DUISBURG-RUHRORT,59,3.7779230241715105,11.962423501974566,143.09957604059346,-0.16973024350664767,-0.7327029766127455,1.7334428287287835,2.9291564113551942,65.06739526246
WESEL,59,3.203315766229135,11.762283114639349,138.35130406892992,-0.10075674478294627,-1.310298281839679,1.0840924100902214,2.193856515295653,64.10450617651327
DÜSSELDORF,59,4.200849453126133,11.749551412036626,138.05195838409185,-0.18303061750085847,-0.5329742356544438,2.123460880266478,4.308690690079164,62.67640059544878
KÖLN,59,3.8690666774179214,11.557126124970923,133.5671642684854,-0.016353781086676955,-2.903500564986715,1.8526393434275121,4.308445321995271,62.211773521399806
KAUB,59,4.504725078470752,11.373544237200461,129.35750851555582,-0.017534216902316713,-0.8494806613535743,2.3011774597039505,5.770261011570537,60.86439567281343
BONN,59,4.458762861570038,10.881689107710647,118.41115783686855,-0.11901517695164787,-3.922699746043893,2.753288295081717,4.833376424771473,56.990553310465685
REES,59,3.0604140552134536,10.762960717310873,115.84132340237699,-0.04437504017941585,-1.5294419051153985,1.2513175735617494,2.3039998863152196,58.537278692250695
MAINZ,59,5.444810857119647,10.704618132318963,114.58884935877192,-0.14461268284097306,-5.435853558024157,3.540691676009004,7.4681740224923265,54.10313835264827
BINGEN,59,2.8990286539401553,9.501331596917417,90.27530211458127,0.047634220917132764,-2.2584315501791368,1.1259265408101555,2.1278298281835535,51.22335220630029
LOBITH,100,2.360378205757473,8.947626391036994,80.06001803358171,-0.08951283618365369,-1.6235890935254509,0.9545099223491889,2.282482335547994,63.36230013465115
EMMERICH,59,2.9812312313355056,8.927310844014391,79.69687890565694,-0.039363532884975294,-2.064476326050862,1.1599712597860687,3.2934711259452096,48.49382334651242
KONSTANZ-RHEIN,59,2.091082880389364,7.474125563895935,55.86255294488274,-0.041361223993149565,-1.086935366997935,0.6935002324141806,1.526662046033414,40.4030369384198
Basel-Rheinhalle,222,5.254690854990697,7.207245040186978,51.944381069299794,-0.5057095061732684,1.427083184198321,3.4519489086121666,13.09747728019737,30.235708017949037
BREISACH,59,3.584957266357651,4.601940574385683,21.177857050177227,-0.38311670528455766,-0.8429371143425458,2.5691368275986974,7.87258252117328,11.712408075251858
Koblenz OP,59,3.5301959797347915,4.221975214477342,17.825074711661,-1.7735153348512402,-0.8273220750508297,2.974692343894162,7.1465843236579145,8.049205825541293
DUISBURG-MEIDERICH SCHLEUSE UW,1201,1.4475090638720378,2.815393651952956,7.926441415457002,-5565.107742487412,-1.1034351055838174,0.20459817124719137,6.487334425665026,7.832015000989671
DUISBURG-MEIDERICH SCHLEUSE OW,1201,1.2156561283355585,2.38035493813457,5.666089631501633,-4396.429625221627,-1.048828334438897,0.25601923380763125,5.447647513642014,6.925378802764445
RHEINWEILER,59,0.9376029602468784,1.2181810088557348,1.4839649703367759,-0.8409415758169339,-0.12431292697960294,0.6927556782699469,2.1627033711710624,3.9918388227201262
