station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
MAXAU,59,5.814798225541531,15.202677991725759,231.12141812010276,0.14954878132523441,-5.616286630981312,3.2537647710603324,6.710571125738375,81.07840804279527
MANNHEIM,59,7.764990846951699,14.938765563875506,223.16671657243268,-0.3633374991464491,2.7847876946819317,5.213630571629011,11.661396932378807,73.9953244739828
SPEYER,59,4.045613421986264,14.887467650779923,221.6366930530187,-0.07789947540734055,-1.4600926756627808,0.9719289153025557,3.7900065345465634,80.88507457903518
RHEINE UNTERSCHLEUSE,59,10.911343537985658,14.667469512761137,215.13466190777743,-4.222559926503014,-4.624259844502272,7.844937457109751,22.426470801114974,41.684918783742546
Koblenz UP,58,11.113614907304305,14.14073247477614,199.96031492318855,-0.06688971868300886,1.1863365215709027,9.774626444492768,25.33924186082745,29.224858346409846
SANKT GOAR,59,7.1290786938971475,14.104286154011096,198.93088791422912,-0.24029836298696705,-2.9983239549664664,4.758362963640138,9.104926732971837,71.71189762115597
KOBLENZ,59,6.252388816762137,13.210488411033321,174.5170040580457,-0.028621702240229308,1.13563693412779,4.135667246662379,9.344397965377727,67.78984627530659
IFFEZHEIM,59,5.645446659647362,12.51106904190844,156.52684857139977,0.1988243287970929,-5.302836500226979,2.4775599158185457,10.151450330605275,65.6753686828716
WORMS,59,3.1236716006048013,12.000775481351765,144.01861215381368,-0.09269094055262506,-1.6018889496029647,0.7355597342740907,2.2705025029650416,65.08178919398057
DUISBURG-RUHRORT,59,3.800946810283284,11.956225024014577,142.95131682487235,-0.168518337131339,-1.765991590722203,1.5222156996156855,3.1342797326159313,64.52144630292781
DÜSSELDORF,59,3.8495302504297375,11.828135363672903,139.9047861813695,-0.19890834961558612,-0.6901792654945722,1.6465367842124579,3.5744820208749033,64.06731570108288
WESEL,59,3.3489206967410503,11.549587073957417,133.39296157892423,-0.06130696167068628,-1.1240570223631348,1.0835995203298125,3.293618344488897,62.33942391544463
KAUB,59,5.025881127094397,11.547129902940585,133.33620899538465,-0.04883092262500499,-1.2914039856888682,2.718902368214657,5.981338286780445,60.784630292703014
KÖLN,59,3.9269666773461505,11.462561636783567,131.39031927706236,0.00021050437966085855,-2.8273026731712876,1.9805463374135002,3.7250404298675286,61.37501150591538
MAINZ,59,5.408474526915393,10.865041015940486,118.04911627806905,-0.17917682607136642,-5.381471082505862,4.033716494559144,6.3914209922906995,55.28947359621864
BONN,59,4.345373420838978,10.81899605166865,117.05067556602182,-0.10615827784803034,-3.8787514085922012,2.389727106896089,4.3606058909984435,56.79238888203247
REES,59,2.8380278249040467,10.682472049047043,114.11520907867131,-0.028813143412123043,-1.7499335025053797,0.9394692528171191,1.7938289100558638,57.983251340660686
EMMERICH,59,3.7642753243502676,9.865832701174279,97.33465488755978,-0.26938585507008006,-3.205143954907462,1.098994326841698,6.72831780770787,52.94309629580811
BINGEN,59,3.051244430207547,9.447641091821533,89.25792219987477,0.05836714334881743,-2.2976442601854576,1.3706049720766202,2.358255963182967,50.968710048497144
LOBITH,100,2.027507621904738,8.741765120850955,76.41845742812632,-0.03995592724416075,-1.280102723372056,0.6685094989481968,1.6090577498588237,62.1509644568647
KONSTANZ-RHEIN,59,2.052140749510773,7.47398431110101,55.86044148258404,-0.04132186318975117,-0.7774487894809211,0.630935715228361,1.6514097626254625,40.35396907672282
Basel-Rheinhalle,222,5.199844367098919,7.095517963522411,50.346375170669226,-0.45938817895832007,3.162684779912132,4.266085309514324,11.824008996465018,30.708988204854336
BREISACH,59,3.8870071597068154,4.850442572833317,23.526793152353886,-0.5365247085055136,0.4155826628307416,2.7167444369975726,7.737038682173045,13.593053733611953
Koblenz OP,59,2.65895799783106,3.3663310857746933,11.332184979053025,-0.7632458390883061,-0.2934662580638491,2.22115057921809,5.909048044333799,7.477403622698546
DUISBURG-MEIDERICH SCHLEUSE UW,1201,1.2227566612669014,2.6408978479495113,6.974341443304361,-4896.52385359541,-1.1486363832979132,0.06328146709629934,5.930052472673001,8.51617698870249
DUISBURG-MEIDERICH SCHLEUSE OW,1201,1.0740702708250358,2.2191886728939383,4.924798365900759,-3821.116422594543,-0.9640645158856975,0.12105975153725268,4.8493004409632405,7.286477062305384
RHEINWEILER,59,1.4009753634943074,1.7764977947877256,3.155944414885652,-2.9151256265919296,0.03644816553978922,1.3328797635226124,3.2755609343700316,4.073023567630685
