station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
Koblenz UP,58,12.544002603163266,16.252707220606933,264.15049199876876,-0.40937687664075284,0.9906891334667273,9.336043871147169,27.025027183810884,33.13487127330306
RHEINE UNTERSCHLEUSE,59,10.96297905202638,15.438535613785806,238.3483818981327,-4.78609089213914,-8.521698133708993,6.834317717684286,26.54912986114934,41.29172148577996
MAXAU,59,5.4765976626328365,15.230735166672307,231.9752937173085,0.14640679843093207,-5.273887036654437,2.1619081982393027,6.822987269857243,81.04645510942817
MANNHEIM,59,7.238439374815838,15.063378262818242,226.9053646887451,-0.38617710198403277,2.2481704289294377,3.242629331525194,14.695884852118258,74.154455659355
SPEYER,59,4.285343747303275,14.95524133907698,223.65924351003704,-0.0877358704851332,-1.221022713206892,1.5324978433363299,3.5112525822600795,81.15590179718112
SANKT GOAR,59,7.451274497999584,14.26433262496436,203.47118523562264,-0.26860630145867637,-3.7201292032194253,5.224826928641477,11.008709981706733,70.96900900444456
KOBLENZ,59,6.3866337140408715,13.474279589484535,181.5562104555995,-0.07011153015787919,1.3151190951046725,3.769573594907243,10.383100950453908,68.6553128569205
IFFEZHEIM,59,5.694919463931281,12.447588321281337,154.94245501609956,0.20693397632211907,-5.465969563891397,2.7410044867958163,9.603120112622925,66.02855515342969
WORMS,59,3.4628991885355322,12.096700127318217,146.33015397026057,-0.11022895708928249,-1.187998152849198,1.0126983683361743,3.4593225747958996,65.12471354347556
WESEL,59,3.6276654490682585,11.906938902441594,141.775194026477,-0.12799804900864986,-0.8624492686266209,1.2481398124947702,3.1913837299002243,64.14129051444951
DUISBURG-RUHRORT,59,3.4459521900906798,11.869593084854046,140.887240000015,-0.15164607829060062,-0.9505143431773618,1.4071857530841783,2.5465281039932792,64.42274834820452
DÜSSELDORF,59,4.09206430054739,11.775665384732129,138.66629525317848,-0.18829515220283666,-0.46484560749023923,2.016102254011841,4.0841172773914485,62.66621380166684
KÖLN,59,3.6453884177798352,11.621491508457938,135.05906488115997,-0.027706113353381134,-2.989056998342597,1.4033467640782078,3.698425506533551,62.835763679398895
KAUB,59,4.848054062235303,11.389500982716928,129.72073263530987,-0.020391360445781714,-1.265484657629571,2.650686930337045,5.745673646672145,60.6596228430995
BONN,59,4.253133568852434,10.874666302647581,118.25836719393881,-0.11757126700719711,-3.8371867336527528,2.293418237350835,5.115120113524554,57.12507192410436
REES,59,3.3495334179263843,10.802473930548503,116.69344302018004,-0.05205738041813657,-1.2657746998117008,1.4829636468862333,2.6015060303244955,58.5179541884756
MAINZ,59,5.801321473047388,10.689225275644592,114.25953699347922,-0.14132322569012756,-5.797604366546433,4.239733359907831,7.28029230530974,53.2667838138326
EMMERICH,59,3.989130878533592,9.565089943287518,91.49094562318002,-0.19317536364834775,-2.4348438728911073,2.2102574936218673,5.379212273014855,49.17644680655633
BINGEN,59,2.9676218026876504,9.504092686436609,90.32777779237783,0.04708062498782539,-2.2858885686460026,1.2602471332138094,2.206312984627846,51.115186670195826
LOBITH,100,2.1592022439231484,8.839861676358577,78.14315445715307,-0.06342681318455945,-1.4633734366726299,0.7397785880243646,1.8396988261937623,62.842115460381365
KONSTANZ-RHEIN,59,2.0300027406841807,7.50956961162994,56.39363575191585,-0.05126139884766068,-0.9535736737594847,0.4493296267282858,1.6589072882409486,40.69914431747753
Basel-Rheinhalle,222,5.46495423762724,7.465267071552603,55.73021244960758,-0.615449235105519,2.194550641792558,4.008020478839057,13.341067074679916,29.34540279149371
BREISACH,59,3.812531598806623,4.935559713388003,24.359749684418667,-0.5909247401775117,-0.5726084373636584,3.649075938352638,8.124761310838705,12.403546931734496
Koblenz OP,59,2.833474621902996,3.4912354445161258,12.18872492904571,-0.8965202698912982,-0.8819609901120111,2.5243386275045623,6.34563149567424,7.977477735219679
DUISBURG-MEIDERICH SCHLEUSE UW,1201,0.837889421209156,1.7669020418701737,3.1219428255649895,-2191.291499069691,-0.7185677271562986,0.06864991853214875,3.032942337388416,7.0121458021369065
DUISBURG-MEIDERICH SCHLEUSE OW,1201,0.6700773102812192,1.435847398632645,2.0616577521601336,-1599.044380874737,-0.6071869760525588,0.03900206740155099,2.2542790446597145,6.240292047646282
RHEINWEILER,59,1.0454464734682773,1.3636263628991871,1.8594768575936658,-1.306785082424644,0.2206399249194576,0.7486392278149765,2.6966635025028722,3.800758490538584
