fold,station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
1,RHEINE UNTERSCHLEUSE,14,16.76627858354706,17.911516496092585,320.8224231897968,-1.2134251450315108,-14.699348852109145,15.777790949059067,24.430611962043194,26.531491879934606
1,IFFEZHEIM,14,9.714975093965405,10.10878072981599,102.18744784349909,-15.191382196706403,-9.714975093965405,9.668541952530234,12.888009458756658,14.391832981935494
1,Basel-Rheinhalle,43,6.7623444874748655,7.880145721885354,62.09669659814805,-3.4661892021929255,-3.180504577954366,6.186325350521656,12.500018257488275,15.63313376624808
1,BREISACH,14,5.897621009391735,6.392509059383759,40.86417207430343,-27.6049204520124,-5.897621009391735,6.5680988536562666,8.351283024227934,9.374069770354112
1,SANKT GOAR,14,4.725677849555699,5.042145039000966,25.42322659432205,-11.711613297161025,4.725677849555699,4.9341047740842185,6.850297020130341,7.037387125924937
1,KAUB,14,3.7596572701139053,4.191002110304216,17.564498688574385,-9.59274382449409,3.7166207530427084,3.853747829602092,5.754353594721546,6.745793780229462
1,Koblenz OP,14,3.3819867846246985,3.976420593430959,15.81192073586182,-23.793091713831338,-3.3819867846246985,3.797416558592616,5.412602386065021,7.940116415646628
1,KOBLENZ,14,3.3774945612767047,3.749299511116131,14.057246824055659,-10.62540243677177,3.2468777030873306,3.323836396686417,5.41341478609915,5.965859257132863
1,MANNHEIM,14,3.279770827308685,3.669527300767396,13.46543061107725,-16.24983267824275,3.279770827308685,3.6732206055961,5.181236100343151,5.7892557336022605
1,MAINZ,14,2.9852743682507685,3.2119744205206224,10.316779678078788,-19.846276462922088,-2.9852743682507685,2.4916038362227937,4.480665203874992,5.454591982038636
1,BONN,14,2.859943676737115,3.111885053785133,9.6838285879713,-6.7470628703770394,-2.859943676737115,2.642413997974586,4.434256164032905,4.888034098962294
1,DÜSSELDORF,14,2.260615784597294,2.6491500333327385,7.01799589910685,-6.3166340224731,2.040990975927063,2.368935196168998,4.115338298966187,4.565546612038531
1,Koblenz UP,14,1.9858809410216065,2.513321289102566,6.316783902256183,-1.1457359529327755,-1.66480261729773,1.234842600160846,4.332594560561144,5.05504653272304
1,KÖLN,14,2.0171257320154132,2.094310792110605,4.386137693950949,-65.12946061649124,2.0171257320154132,2.2054408452856364,2.6326487303741177,2.8996973865452276
1,LOBITH,22,1.373150353290834,2.055976748665053,4.227040391051322,-27.415104850956098,-1.3328968130433778,1.0283948050180243,4.711464748239731,5.094990327881874
1,SPEYER,14,1.7889678950980965,2.038213591600021,4.154314644983056,-4.057426524327198,1.7754788484580704,1.7735024469744332,3.1784690045869386,3.489570502815724
1,BINGEN,14,1.394844867395196,1.5659591926550847,2.452228193060965,-3.5774926270471346,1.296102070198049,1.3414383225584672,1.9940016195483568,2.976757660966939
1,DUISBURG-RUHRORT,14,1.1812981286742854,1.458951686450522,2.1285400233968224,-1.3177435810320954,0.8663081239729625,1.2293931372733908,1.673174646794854,3.69118816414624
1,REES,14,1.222915774240837,1.4403103119849827,2.074493794810278,-8.917092287385719,-1.1891267704800959,1.3937629122098656,2.1522061512178285,2.583375537039501
1,EMMERICH,14,1.0106880843888493,1.4220168507273547,2.022131923752544,-8.908446426387467,-0.08173097234330738,0.666899960470591,2.695858858479692,3.213688303180163
1,WESEL,14,1.0474913439739797,1.2886669076184578,1.660662398790919,-3.2827609231976336,0.6877997216077928,0.7611896071574051,1.9476867784652654,2.6215546598588446
