feature_set,mean_mae,mean_rmse,std_rmse,mean_r2
full,2.7532483373252665,6.2764703732515965,3.9141922658032726,0.9976810248796062
no_station_id,2.7494961475789945,6.283476942714993,3.9053704213663614,0.9976802904225833
lean,2.7878033131093503,6.295487677142208,3.913753502200433,0.9976724343906487
no_target_value,7.617142444386362,12.922637930315279,9.901800324809608,0.9894024710350475
